Id,Day,Time,DayOfWeek,PdDistrict,X,Y
0,4541,1439,1,BAYVIEW,-122.3995877,37.73505101
1,4541,1431,1,BAYVIEW,-122.3915229,37.73243239
2,4541,1430,1,NORTHERN,-122.426002,37.79221244
3,4541,1425,1,INGLESIDE,-122.437394,37.72141206
4,4541,1425,1,INGLESIDE,-122.437394,37.72141206
5,4541,1420,1,TARAVAL,-122.4590236,37.7131719
6,4539,1410,1,INGLESIDE,-122.4256165,37.73935051
7,4541,1410,1,INGLESIDE,-122.412652,37.73975016
8,4541,1390,1,MISSION,-122.4187001,37.76516494
9,4541,1390,1,CENTRAL,-122.4139346,37.79888645
10,4541,1380,1,INGLESIDE,-122.4086078,37.74678736
11,4532,1380,1,MISSION,-122.4110938,37.76104757
12,4541,1380,1,MISSION,-122.4110938,37.76104757
13,4541,1380,1,CENTRAL,-122.4021306,37.7993635
14,4663,1380,1,CENTRAL,-122.4207475,37.80758774
15,4541,1370,1,TENDERLOIN,-122.4155082,37.78165428
16,4449,1356,1,TARAVAL,-122.4556785,37.72370174
17,4541,1320,1,INGLESIDE,-122.4002983,37.71718084
18,4541,1320,1,NORTHERN,-122.4336685,37.78770855
19,4541,1320,1,NORTHERN,-122.4221496,37.79782438
20,4541,1320,1,NORTHERN,-122.4221496,37.79782438
21,4541,1320,1,MISSION,-122.4154644,37.76693703
22,4541,1314,1,CENTRAL,-122.4068206,37.80482829
23,4541,1311,1,INGLESIDE,-122.4079225,37.70900404
24,4541,1295,1,NORTHERN,-122.43129,37.77205498
25,4541,1290,1,RICHMOND,-122.4699067,37.78361619
26,4541,1290,1,NORTHERN,-122.4311491,37.77769841
27,4541,1276,1,SOUTHERN,-122.4034048,37.77542071
28,4541,1260,1,INGLESIDE,-122.4506763,37.73540083
29,4541,1260,1,TARAVAL,-122.4721307,37.75339072
30,4541,1260,1,TARAVAL,-122.5079929,37.75002748
31,4541,1260,1,INGLESIDE,-122.4312996,37.74623379
32,4541,1260,1,TARAVAL,-122.5082009,37.76123915
33,4541,1260,1,NORTHERN,-122.4360492,37.79984122
34,4541,1260,1,BAYVIEW,-122.3896111,37.76171217
35,4541,1260,1,RICHMOND,-122.4680223,37.77330394
36,4541,1237,1,SOUTHERN,-122.4109392,37.77921226
37,4541,1230,1,PARK,-122.4542399,37.7459563
38,4541,1230,1,TARAVAL,-122.4716141,37.74788875
39,4541,1230,1,TARAVAL,-122.4861106,37.76124393
40,4541,1230,1,RICHMOND,-122.4801725,37.77741405
41,4541,1230,1,TARAVAL,-122.4861106,37.76124393
42,4541,1212,1,MISSION,-122.4065391,37.75648641
43,4541,1200,1,BAYVIEW,-122.3983206,37.71090485
44,4541,1200,1,INGLESIDE,-122.4249156,37.72950802
45,4541,1200,1,NORTHERN,-122.4213512,37.79798145
46,4541,1200,1,NORTHERN,-122.4260714,37.77552412
47,4541,1200,1,SOUTHERN,-122.4102935,37.78223059
48,4541,1200,1,NORTHERN,-122.4197398,37.78589261
49,4541,1200,1,INGLESIDE,-122.4293067,37.73074292
50,4541,1196,1,SOUTHERN,-122.405619,37.77850452
51,4541,1194,1,RICHMOND,-122.5003804,37.77462065
52,4541,1189,1,INGLESIDE,-122.4114994,37.73900872
53,4541,1187,1,NORTHERN,-122.42895,37.76750273
54,4541,1187,1,NORTHERN,-122.42895,37.76750273
55,4541,1187,1,NORTHERN,-122.42895,37.76750273
56,4541,1185,1,SOUTHERN,-122.4131609,37.77745666
57,4541,1175,1,MISSION,-122.4167106,37.75634797
58,4541,1175,1,MISSION,-122.4167106,37.75634797
59,4541,1170,1,TARAVAL,-122.4674726,37.7470552
60,4541,1170,1,BAYVIEW,-122.4029122,37.72580545
61,4541,1170,1,NORTHERN,-122.4261587,37.79263323
62,4541,1160,1,INGLESIDE,-122.4430669,37.72498717
63,4541,1160,1,NORTHERN,-122.4202505,37.78007457
64,4541,1156,1,SOUTHERN,-122.406521,37.78506294
65,4541,1140,1,SOUTHERN,-122.4034048,37.77542071
66,4541,1140,1,SOUTHERN,-122.4034048,37.77542071
67,4541,1140,1,INGLESIDE,-122.450671,37.71021417
68,4541,1140,1,NORTHERN,-122.4271796,37.77228318
69,4541,1140,1,SOUTHERN,-122.4076335,37.78418935
70,4541,1140,1,SOUTHERN,-122.4034048,37.77542071
71,4541,1138,1,RICHMOND,-122.4879465,37.77994415
72,4541,1138,1,RICHMOND,-122.4879465,37.77994415
73,4541,1138,1,RICHMOND,-122.4879465,37.77994415
74,4541,1132,1,TENDERLOIN,-122.4080405,37.7864094
75,4541,1125,1,RICHMOND,-122.4672211,37.77613432
76,4541,1110,1,BAYVIEW,-122.3943429,37.76077136
77,4541,1110,1,PARK,-122.4413937,37.77172731
78,4541,1110,1,PARK,-122.4413937,37.77172731
79,4541,1110,1,PARK,-122.4436429,37.78291837
80,4541,1110,1,BAYVIEW,-122.3950628,37.76654436
81,4541,1109,1,MISSION,-122.4196718,37.76505012
82,4541,1095,1,TARAVAL,-122.4647226,37.76416172
83,4541,1095,1,TARAVAL,-122.5004661,37.74287443
84,4541,1090,1,RICHMOND,-122.509893,37.7713943
85,4541,1080,1,RICHMOND,-122.4616037,37.78101778
86,4541,1080,1,RICHMOND,-122.4616037,37.78101778
87,4541,1080,1,BAYVIEW,-122.3966776,37.71672193
88,4541,1072,1,CENTRAL,-122.4077026,37.79966317
89,4541,1055,1,NORTHERN,-122.4202173,37.77915102
90,4541,1050,1,SOUTHERN,-122.4076335,37.78418935
91,4541,1050,1,SOUTHERN,-122.4076335,37.78418935
92,4541,1050,1,INGLESIDE,-122.4401598,37.72709432
93,4541,1050,1,MISSION,-122.4050969,37.74911001
94,4541,1050,1,MISSION,-122.4050969,37.74911001
95,4541,1050,1,RICHMOND,-122.4713729,37.77502523
96,4541,1050,1,NORTHERN,-122.4329146,37.78435334
97,4541,1049,1,BAYVIEW,-122.3865942,37.72781834
98,4541,1048,1,TARAVAL,-122.477696,37.76359154
99,4541,1037,1,SOUTHERN,-122.4034048,37.77542071
100,4541,1035,1,SOUTHERN,-122.402246,37.78108882
101,4541,1032,1,SOUTHERN,-122.4017383,37.78853358
102,4541,1032,1,SOUTHERN,-122.4017383,37.78853358
103,4541,1030,1,NORTHERN,-122.4320353,37.78425011
104,4541,1030,1,PARK,-122.4379902,37.77592487
105,4541,1030,1,SOUTHERN,-122.418619,37.77305255
106,4541,1020,1,MISSION,-122.4234883,37.75836507
107,4541,1020,1,MISSION,-122.4107618,37.7591352
108,4541,1019,1,MISSION,-122.4184482,37.75223917
